name;id;image;searched on twitter;twitter image;twitter;Column1;_1;Bestätigt
Petra Wimmer;Q43231485;http://commons.wikimedia.org/wiki/Special:FilePath/2018%20Petra%20Wimmer%20%28cropped%29.jpg;WAHR;;PetraWimmer6;;;WAHR?
Alois Stöger;Q86182;http://commons.wikimedia.org/wiki/Special:FilePath/Gesundheitsminister%20Alois%20St%C3%B6ger%20%283074205754%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1296728259883868160/AYqq9oym_normal.jpg;_sozialois;Abgeordneter zum Nationalrat, SPÖ-Verkehrssprecher, Bundesminister aD;;WAHR
Agnes Sirkka Prammer;Q81616260;;WAHR;https://pbs.twimg.com/profile_images/1454079632249085958/1_RO9xDZ_normal.jpg;AgnesPrammer;Nationalratsabgeordnete und Sprecherin für Justiz, Verfassung und Sport bei @diegruenen;;WAHR
Alois Schroll;Q72078740;http://commons.wikimedia.org/wiki/Special:FilePath/2022%20Alois%20Schroll%20%2851854220704%29%20%28cropped%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1242089778721558529/AGmcNhks_normal.jpg;AloisSchroll;Abgeordneter zum Nationalrat, SPÖ-Bereichssprecher Energie;;WAHR
Andreas Hanger;Q15783312;;WAHR;https://pbs.twimg.com/profile_images/1493929365649989641/bzgb5EXP_normal.jpg;Andreas_Hanger;Nationalrat | ÖVP | Bezirksparteiobmann Amstetten;;WAHR
Andreas Kollross;Q15783321;http://commons.wikimedia.org/wiki/Special:FilePath/2020-12-21%20Andreas%20Kollross%20%2850743619961%29%20%28cropped%29%20%28cropped%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1478061133164695553/-bM-etN3_normal.jpg;AndreasKollros;Bürgermeister Marktgemeinde Trumau, Abgeordneter z Nationalrat, Stv. Klubobmann und Kommunalpolitischer Sprecher des SPÖ Klubs, Landesvorsitzender Kinderfreunde;;WAHR
Axel Melchior;Q30015127;;WAHR;https://pbs.twimg.com/profile_images/1214165143069704192/IFIBSnp6_normal.jpg;AxMelchior;Abgeordneter im @OeParl;;WAHR
Bettina Rausch;Q850023;http://commons.wikimedia.org/wiki/Special:FilePath/Bettina%20Rausch%201.JPG;WAHR;https://pbs.twimg.com/profile_images/1298727929246109697/QI6a7ZYu_normal.jpg;bettinarausch;Präsidentin der @PolAkademie der Volkspartei. Fest in den Wurzeln. Offen für Neues.;;WAHR
Eva Blimlinger;Q15808910;http://commons.wikimedia.org/wiki/Special:FilePath/Eva%20Blimlinger-3815%20%2814469446653%29%20%28cropped%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1415616201611481093/TWCvwzqX_normal.jpg;blimlinger;Abg. z. NR und leidenschaftliche Historikerin, Zeitungsleserin und Köchin;;WAHR
Carina Reiter;Q72079820;;WAHR;https://pbs.twimg.com/profile_images/1185117808763514880/xodANYB-_normal.jpg;Carina_Eques;;;WAHR
