name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Ales Dufek;Q17516187;;WAHR;;;;WAHR
Andrea Babisová;Q42556463;;WAHR;;;;WAHR
Eva Fialová;Q42878086;;WAHR;;;;WAHR
Frantisek Petrtýl;Q28132901;;WAHR;;;;WAHR
Hubert Lang;Q108872648;;WAHR;;;;WAHR
Ivan Adamec;Q4764498;http://commons.wikimedia.org/wiki/Special:FilePath/Ivan%20Adamec.jpg;WAHR;;;;WAHR
Ivan Jác;Q43370842;;WAHR;;;;WAHR
Iveta Stefanová;Q108872645;;WAHR;;;;WAHR
Jan Hofmann;Q108872639;;WAHR;;;;WAHR
Jan Hrncír;Q33133461;http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Hrn%C4%8D%C3%AD%C5%99%202019.jpg;WAHR;;;;WAHR
Jan Kubík;Q42885846;;WAHR;;;;WAHR
Jan Kuchar;Q106193137;;WAHR;;;;WAHR
Jan Richter;Q43124179;;WAHR;;;;WAHR
Jan Síla;Q100830154;;WAHR;;;;WAHR
Jana Bacíková;Q24877339;;WAHR;;;;WAHR
Jana Hanzlíková;Q29016709;;WAHR;;;;WAHR
Jaroslav Dvorák;Q43522433;;WAHR;;;;WAHR
Jirí Kobza;Q44849760;http://commons.wikimedia.org/wiki/Special:FilePath/Ji%C5%99%C3%AD%20Kobza%202019.jpg;WAHR;;;;WAHR
Jirí Slavík;Q108872640;;WAHR;;;;WAHR
Josef Kott;Q15290778;;WAHR;;;;WAHR
Lenka Knechtová;Q108872658;;WAHR;;;;WAHR
Libor Turek;Q107751741;;WAHR;;;;WAHR
Lubomír Wenzl;Q108872657;;WAHR;;;;WAHR
Marie Posarová;Q108872647;;WAHR;;;;WAHR
Milan Brázdil;Q15208291;;WAHR;;;;WAHR
Milan Wenzl;Q95146618;;WAHR;;;;WAHR
Miloslav Janulík;Q15124134;http://commons.wikimedia.org/wiki/Special:FilePath/Miloslav%20Janul%C3%ADk%20na%20volebn%C3%ADm%20m%C3%ADtinku%20v%20B%C5%99eclavi.jpg;WAHR;;;;WAHR
Oldrich Cerný;Q108872637;;WAHR;;;;WAHR
Petr Liska;Q23001549;;WAHR;;;;WAHR
Petr Vrána;Q42586533;;WAHR;;;;WAHR
Petra Quittová;Q13561379;;WAHR;;;;WAHR
Renata Oulehlová;Q57077273;http://commons.wikimedia.org/wiki/Special:FilePath/Renata%20Oulehlov%C3%A1.jpg;WAHR;;;;WAHR
Roman Belor;Q95176450;;WAHR;;;;WAHR
Rudolf Salvetr;Q62593484;;WAHR;;;;WAHR
Stanislav Fridrich;Q42864185;;WAHR;;;;WAHR
Tomás Helebrant;Q108872644;http://commons.wikimedia.org/wiki/Special:FilePath/HELEBRANT%20Tomas%20ANO.jpg;WAHR;;;;WAHR
Tomás Kohoutek;Q42878199;;WAHR;;;;WAHR
Vít Vomácka;Q100230925;;WAHR;;;;WAHR
Vladimír Zlínský;Q108872661;;WAHR;;;;WAHR
Vladimíra Lesenská;Q11911471;http://commons.wikimedia.org/wiki/Special:FilePath/Vladim%C3%ADra%20Lesensk%C3%A1.jpg;WAHR;;;;WAHR
Zuzana Ozanová;Q42710819;;WAHR;;;;WAHR
Vera Adámková;Q42311480;;FALSCH;;adamkova_vera;;
Alena Schillerová;Q29951594;http://commons.wikimedia.org/wiki/Special:FilePath/Alena%20Schillerov%C3%A1%202.jpg;FALSCH;;alenaschillerov;;
Andrej Babis;Q10819807;http://commons.wikimedia.org/wiki/Special:FilePath/Andrej%20Babi%C5%A1%20v%20roce%202020.jpg;FALSCH;;AndrejBabis;;
Margita Balastíková;Q15124116;;FALSCH;;balamargo;;
Barbora Urbanová;Q108872642;;WAHR;https://pbs.twimg.com/profile_images/1611344509245296640/0UL70-qE_normal.jpg;BaraUrbanova;Poslankyn? za @stancz z Dolních B?ežan, exp?edsedkyn? @studentizakum, p?edsedkyn? Správní rady @modernipolitika. Sledujte @PodSvicnem;WAHR
Jan Bauer;Q12022400;;FALSCH;;BauerJan_pt;;
Petr Bendl;Q3377550;http://commons.wikimedia.org/wiki/Special:FilePath/Petr%20Bendl%20%28cropped%29.jpg;FALSCH;;BendlPetr;;
Ondrej Benesík;Q14806480;;FALSCH;;BenesikOndra;;
Berenika Pestová;Q108872650;;WAHR;https://pbs.twimg.com/profile_images/1103875714481184768/jBVluI60_normal.jpg;Berenik38326099;Literatura Profesionálové a reporté?i v oblasti technologií Zví?ata Historie V?da Kutilství a d?m Humor Úžasné Rodi?ovství Politika Politika Zajímavé obrázky;WAHR?
