name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Alex Ahrendtsen;Q12300936;http://commons.wikimedia.org/wiki/Special:FilePath/Alex%20Ahrendtsen%202007.jpg;WAHR;;;;WAHR
Anne Rasmussen;Q108305999;;WAHR;;;;WAHR
Claus Hjort Frederiksen;Q2978598;http://commons.wikimedia.org/wiki/Special:FilePath/Claus%20Hjort%20Frederiksen%202.jpg;WAHR;;;;WAHR
Daniel Toft Jakobsen;Q20177783;;WAHR;;;;WAHR
Edmund Joensen;Q678236;http://commons.wikimedia.org/wiki/Special:FilePath/Edmund%20Joensen.JPG;WAHR;;;;WAHR
Henrik Dam Kristensen;Q1358896;http://commons.wikimedia.org/wiki/Special:FilePath/Henrik%20Dam%20Kristensen.jpg;WAHR;;;;WAHR
Ina Strøjer-Schmidt;Q64441804;;WAHR;;;;WAHR
Jette Gottlieb;Q11978555;;WAHR;;;;WAHR
Lennart Damsbo-Andersen;Q12324275;;WAHR;;;;WAHR
Preben Bang Henriksen;Q12332288;;WAHR;;;;WAHR
Bent Bøgsted;Q12303152;;FALSCH;;;;WAHR
Mette Dencker;Q12326819;;FALSCH;;;;WAHR
Flemming Møller Mortensen;Q12311591;http://commons.wikimedia.org/wiki/Special:FilePath/GC%20ministermote%2020210901%200048%20%2851419178398%29%20%28cropped%29.jpg;FALSCH;;;;WAHR
Mai Mercado;Q12325752;;FALSCH;;_MaiMercado;;WAHR
Andreas Steenberg;Q12301603;;FALSCH;;a_steenberg;;WAHR
Aaja Chemnitz Larsen;Q20199803;;FALSCH;;aajacl;;WAHR
Aki-Matilda Høegh-Dam;Q64415132;;FALSCH;;AkiMati_Siumut;;WAHR
Alex Vanopslagh;Q21208022;http://commons.wikimedia.org/wiki/Special:FilePath/20190614%20Folkemodet%20Bornholm%20Alex%20Vanopslagh%200023%20%2848068924741%29%20%28cropped%29.jpg;FALSCH;;AlexVanopslagh;;WAHR
Katarina Ammitzbøll;Q64442287;;FALSCH;;Ammitzboell_K;;WAHR
Simon Emil Ammitzbøll;Q952472;http://commons.wikimedia.org/wiki/Special:FilePath/SimonEmilAmmitzboll.jpg;FALSCH;;ammitzbollbille;;WAHR
Anders Kronborg;Q64439937;;FALSCH;;AndersKronborg;;WAHR
Ane Halsboe-Jørgensen;Q12301637;http://commons.wikimedia.org/wiki/Special:FilePath/Ane%20Halsboe-J%C3%B8rgensen%20%2851119844650%29%20%28cropped%29.jpg;FALSCH;;AneHalsboe;;WAHR
Annette Lind;Q12301892;http://commons.wikimedia.org/wiki/Special:FilePath/Anette%20Lind%202020%20Nordiskr%C3%A5d.jpg;FALSCH;;annette_lind;;WAHR
Anne Valentina Berthelsen;Q64441438;http://commons.wikimedia.org/wiki/Special:FilePath/Anne%20Valentina%20Berthelsen%20foto%20William%20Vest-Lilles%C3%B8e.jpg;FALSCH;;AnneValentina;;WAHR
Anni Matthiesen;Q12301898;;FALSCH;;AnniMatthiesen;;WAHR
Astrid Carøe;Q64441411;http://commons.wikimedia.org/wiki/Special:FilePath/Astrid%20Car%C3%B8e%20-%20medlem%20af%20Folketinget%20for%20SF.jpg;FALSCH;;AstridCaroee;;WAHR
Astrid Krag;Q463680;http://commons.wikimedia.org/wiki/Special:FilePath/Astrid%20Krag.jpg;FALSCH;;Astridkrag;;WAHR
Heidi Bank;Q64439073;;FALSCH;;bankHeidi;;WAHR
Benny Engelbrecht;Q12303134;http://commons.wikimedia.org/wiki/Special:FilePath/Benny%20Engelbrecht.jpg;FALSCH;;BennyEngelbrech;;WAHR
Bertel Haarder;Q567098;http://commons.wikimedia.org/wiki/Special:FilePath/Bertel%20Haarder%2C%20undervisnings-%20och%20samarbetsminister%20Danmark%20%281%29.jpg;FALSCH;;BHaarder;;WAHR
Birgitte Vind;Q64440032;;FALSCH;;birgitte_vind;;WAHR
Birgitte Bergman;Q64441613;;FALSCH;;BirgitteBergman;;WAHR
Bjarne Laustsen;Q12303652;;FALSCH;;Bjarne_Laustsen;;WAHR
Bjørn Brandenborg;Q64417294;;FALSCH;;BjBrandenborg;;WAHR
Liselott Blixt;Q12342520;http://commons.wikimedia.org/wiki/Special:FilePath/HVB%2040%20years%20-%20Liselott%20Blixt.jpg;FALSCH;;Blixt22;;WAHR
Britt Bager;Q20197574;http://commons.wikimedia.org/wiki/Special:FilePath/Britt%20Bager.jpg;FALSCH;;brittbager;;WAHR
Camilla Fabricius;Q64439019;;FALSCH;;CamFabricius;;WAHR
Carl Valentin;Q47500034;http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20Valentin%20i%20Folketingssalen%20foto%20William%20Vest-Lillesoe.jpg;FALSCH;;Carl__Valentin;;WAHR
Charlotte Broman Mølbæk;Q64439137;http://commons.wikimedia.org/wiki/Special:FilePath/Charlotte%20Broman%20Moelbaek%202020%20foto%20William%20Vest-Lillesoe.jpg;WAHR;;charlottebroman;;WAHR
Christian Juhl;Q12306031;http://commons.wikimedia.org/wiki/Special:FilePath/Christian%20Juhl.jpg;FALSCH;;ChristianJuhl2;;WAHR
Christoffer Aagaard Melson;Q64439851;;WAHR;;christoffermels;;WAHR
Carsten Kissmeyer;Q12305482;http://commons.wikimedia.org/wiki/Special:FilePath/CKissmeyer.jpg;FALSCH;;CKissmeyer;;WAHR
Dan Jørgensen;Q1159092;http://commons.wikimedia.org/wiki/Special:FilePath/Dan%20J%C3%B8rgensen%200009.JPG;FALSCH;;DanJoergensen;;WAHR
Susanne Eilersen;Q20186140;;FALSCH;;Eilersen_DF;;WAHR
Karen Ellemann;Q3042869;http://commons.wikimedia.org/wiki/Special:FilePath/Karen%20Ellemann%20miljominister%2C%20minister%20for%20nordisk%20samarbejde%20Danmark.jpg;FALSCH;;EllemannKaren;;WAHR
Ellen Trane Nørby;Q12309819;http://commons.wikimedia.org/wiki/Special:FilePath/Informal%20meeting%20of%20health%20ministers%20%28iEPSCO%29.%20Arrivals%20Ellen%20Trane%20Noerby%20%2835909039651%29%20cropped.jpg;FALSCH;;EllenTraneNorby;;WAHR
Erling Bonnesen;Q12310469;http://commons.wikimedia.org/wiki/Special:FilePath/Erling%20Bonnesen.jpg;FALSCH;;ErlingBonnesen;;WAHR
Søren Espersen;Q12338511;http://commons.wikimedia.org/wiki/Special:FilePath/Soren%20Espersen%200c224%203140.jpg;FALSCH;;espersendf;;WAHR
Eva Flyvholm;Q20188888;;FALSCH;;EvaFlyvholm;;WAHR
Eva Kjer Hansen;Q443987;http://commons.wikimedia.org/wiki/Special:FilePath/20181204%20Eva%20Kjer%20Hansen%20Granshindermote%20Folketinget%20Greater%20Copenhagen%20OresundDirekt%200041%20%2845332844785%29%20%28cropped%29.jpg;FALSCH;;EvaKjerHansen;;WAHR
Fatma Øktem;Q12311129;;FALSCH;;fatmaoektem;;WAHR
Dennis Flydtkjær;Q12308261;;FALSCH;;flydtkjaer;;WAHR
Anne Sophie Callesen;Q64439111;;FALSCH;;frkcallesen;;WAHR
Gitte Willumsen;Q106009196;;WAHR;;gittewillumsen1;;WAHR
Hans Christian Schmidt;Q1579014;http://commons.wikimedia.org/wiki/Special:FilePath/Carlsberg%20Station%20opening%2005.jpg;FALSCH;;HaChrSchmidt;;WAHR
Halime O?uz;Q64442264;http://commons.wikimedia.org/wiki/Special:FilePath/Halime%20Oguz%20MARTS%202018%20foto%20William%20Vest-Lilles%C3%B8e.jpg;FALSCH;;Halime9Oguz;;WAHR
Hans Kristian Skibby;Q12315455;http://commons.wikimedia.org/wiki/Special:FilePath/Hans-Kristian-Skibby-DF.jpg;FALSCH;;Hans_Kr_Skibby;;WAHR
Hans Andersen;Q12315227;;FALSCH;;HansAndersenV;;WAHR
Orla Hav;Q12330445;http://commons.wikimedia.org/wiki/Special:FilePath/Elsemette%20Cass%C3%B8e%20-%20Henning%20Toft%20Bro.jpg;FALSCH;;HavOrla;;WAHR
