name;id;image;searched on twitter;twitter image;twitter;twitter description;Besttätigt
Inger Støjberg;Q3121413;http://commons.wikimedia.org/wiki/Special:FilePath/Informal%20meeting%20of%20justice%20and%20home%20affairs%20ministers.%20Handshake%20%28Home%20Affairs%29%20Andres%20Anvelt%20and%20Inger%20Stojberg%20%2834942746573%29%20%28cropped%20to%20Inger%20Stojberg%29.jpg;WAHR;;;;WAHR
Jette Gottlieb;Q11978555;;WAHR;;;;WAHR
Karin Liltorp;Q115020598;;WAHR;;;;WAHR
Katrine Daugaard;Q115012411;;WAHR;;;;WAHR
Kim Aas;Q115012200;;WAHR;;;;WAHR
Kristian Bøgsted;Q115019333;;WAHR;;;;WAHR
Lise Bertelsen;Q115018753;;WAHR;;;;WAHR
Peter Have;Q115020616;;WAHR;;;;WAHR
Alex Ahrendtsen;Q12300936;http://commons.wikimedia.org/wiki/Special:FilePath/Alex%20Ahrendtsen%202007.jpg;FALSCH;;;;WAHR
Flemming Møller Mortensen;Q12311591;http://commons.wikimedia.org/wiki/Special:FilePath/GC%20ministermote%2020210901%200048%20%2851419178398%29%20%28cropped%29.jpg;FALSCH;;;;WAHR
Helena Artmann Andresen;Q115011763;;FALSCH;;;;WAHR
Preben Bang Henriksen;Q12332288;;FALSCH;;;;WAHR
Mai Mercado;Q12325752;;FALSCH;;_MaiMercado;;WAHR
Aaja Chemnitz Larsen;Q20199803;;FALSCH;;aajacl;;WAHR
Aki-Matilda Høegh-Dam;Q64415132;;FALSCH;;AkiMati_Siumut;;WAHR
Alexander Ryle;Q115020080;;FALSCH;;alexanderryle;;WAHR
Alex Vanopslagh;Q21208022;http://commons.wikimedia.org/wiki/Special:FilePath/20190614%20Folkemodet%20Bornholm%20Alex%20Vanopslagh%200023%20%2848068924741%29%20%28cropped%29.jpg;FALSCH;;AlexVanopslagh;;WAHR
Anders Kronborg;Q64439937;;FALSCH;;AndersKronborg;;WAHR
Ane Halsboe-Jørgensen;Q12301637;http://commons.wikimedia.org/wiki/Special:FilePath/Ane%20Halsboe-J%C3%B8rgensen%20%2851119844650%29%20%28cropped%29.jpg;FALSCH;;AneHalsboe;;WAHR
Anna Falkenberg;Q114967087;;FALSCH;;annafalkenberg;;WAHR
Annette Lind;Q12301892;http://commons.wikimedia.org/wiki/Special:FilePath/Anette%20Lind%202020%20Nordiskr%C3%A5d.jpg;FALSCH;;annette_lind;;WAHR
Anne Valentina Berthelsen;Q64441438;http://commons.wikimedia.org/wiki/Special:FilePath/Anne%20Valentina%20Berthelsen%20foto%20William%20Vest-Lilles%C3%B8e.jpg;FALSCH;;AnneValentina;;WAHR
Anni Matthiesen;Q12301898;;FALSCH;;AnniMatthiesen;;WAHR
Astrid Carøe;Q64441411;http://commons.wikimedia.org/wiki/Special:FilePath/Astrid%20Car%C3%B8e%20-%20medlem%20af%20Folketinget%20for%20SF.jpg;FALSCH;;AstridCaroee;;WAHR
Astrid Krag;Q463680;http://commons.wikimedia.org/wiki/Special:FilePath/Astrid%20Krag.jpg;FALSCH;;Astridkrag;;WAHR
Sara Emil Baaring;Q115012140;;WAHR;https://pbs.twimg.com/profile_images/1557113210456662019/iPsQAl7p_normal.jpg;BaaringEmil;Folketingskandidat og medlem af Assens byråd for Socialdemokratiet. Bor i Skalbjerg på Fyn. Folkeskolelærer på Verninge skole. Gift med Mark og har to børn.;WAHR
Benny Engelbrecht;Q12303134;http://commons.wikimedia.org/wiki/Special:FilePath/Benny%20Engelbrecht.jpg;FALSCH;;BennyEngelbrech;;WAHR
Theresa Berg Andersen;Q106009197;;FALSCH;;BergBergtheresa;;WAHR
Betina Kastbjerg;Q115018739;;WAHR;https://pbs.twimg.com/profile_images/1561230513775546368/KbsYlCjL_normal.jpg;BetinaKastbjerg;Folketingsmedlem  for Danmarksdemokraterne ????;WAHR
Marianne Bigum;Q115014546;;FALSCH;;bigummarianne;;WAHR
Birgitte Vind;Q64440032;;FALSCH;;birgitte_vind;;WAHR
Bjarne Laustsen;Q12303652;;FALSCH;;Bjarne_Laustsen;;WAHR
Bjørn Brandenborg;Q64417294;;FALSCH;;BjBrandenborg;;WAHR
Camilla Fabricius;Q64439019;;FALSCH;;CamFabricius;;WAHR
Carl Valentin;Q47500034;http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20Valentin%20i%20Folketingssalen%20foto%20William%20Vest-Lillesoe.jpg;FALSCH;;Carl__Valentin;;WAHR
Carsten Bach;Q20179692;;FALSCH;;carstenbachft;;WAHR
Charlotte Bagge Hansen;Q115013918;;WAHR;https://pbs.twimg.com/profile_images/1538850385762390020/bA6RCnhL_normal.jpg;charlotte_bagge;Folketingskandidat for Moderaterne;WAHR
