name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Adrien Morenas;Q30498482;http://commons.wikimedia.org/wiki/Special:FilePath/Tour%20de%20France%20de%20l%27%C3%A9galit%C3%A9%20femmes-hommes%20-%20Adrien%20Morenas%201%20%28cropped%29.jpg;FALSCH;;AdrienMorenas;;WAHR
Adrien Quatennens;Q30385935;http://commons.wikimedia.org/wiki/Special:FilePath/Adrien%20Quatennens.jpg;FALSCH;;AQuatennens;;WAHR
Agnès Firmin-Le Bodo;Q30349300;http://commons.wikimedia.org/wiki/Special:FilePath/Agn%C3%A8s%20Firmin%20Le%20Bodo.jpg;FALSCH;;agnesfirmin;;WAHR
Agnès Thill;Q30513192;http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20-%20Manifestation%20%C2%AB%20Marchons%20Enfants%20%C2%BB%20contre%20la%20PMA%20et%20la%20GPA%20-%2068.jpg;FALSCH;;ThillAgnes;;WAHR
Aina Kuric;Q30349775;http://commons.wikimedia.org/wiki/Special:FilePath/Aina%20Kuric.jpg;FALSCH;;ainakuric;;WAHR
Alain Bruneel;Q30351244;http://commons.wikimedia.org/wiki/Special:FilePath/Alain%20Bruneel.jpg;FALSCH;;alain_bruneel;;WAHR
Alain David;Q30447134;http://commons.wikimedia.org/wiki/Special:FilePath/Alain%20David.jpg;FALSCH;;AlainDavid_AN;;WAHR
Alain Perea;Q30339328;http://commons.wikimedia.org/wiki/Special:FilePath/Alain%20P%C3%A9r%C3%A9a%20d%C3%A9put%C3%A9%20de%20l%27Aude.jpg;FALSCH;;PereaAlain;;WAHR
Alain Ramadier;Q30386100;http://commons.wikimedia.org/wiki/Special:FilePath/Alain%20Ramadier.jpg;FALSCH;;alainramadier;;WAHR
Alain Tourret;Q2830328;http://commons.wikimedia.org/wiki/Special:FilePath/Alain%20Tourret%20%C3%A0%20l%27Assembl%C3%A9e%20g%C3%A9n%C3%A9rale%20des%20maires%20du%20Calvados.jpg;FALSCH;;AlainTourret;;WAHR
Albane Gaillot;Q30527240;http://commons.wikimedia.org/wiki/Special:FilePath/Albane-gaillot-2.jpg;FALSCH;;AlbaneGaillot;;WAHR
Alexandra Louis;Q28914642;http://commons.wikimedia.org/wiki/Special:FilePath/Alexandra%20Louis.jpg;FALSCH;;ALouisMars;;WAHR
Alexandra Valetta Ardisson;Q30339214;http://commons.wikimedia.org/wiki/Special:FilePath/Alexandra%20Valetta-Ardisson.jpg;FALSCH;;A_Ardisson;;WAHR
Alexandre Freschi;Q30504358;;FALSCH;;AVFreschi;;WAHR
Alexandre Holroyd;Q30344304;http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Holroyd%2016333%20AN.jpg;FALSCH;;alexIholroyd;;WAHR
Alexis Corbière;Q2834481;http://commons.wikimedia.org/wiki/Special:FilePath/Alexis%20Corbi%C3%A8re%20Jardin%204colonnes.jpg;FALSCH;;alexiscorbiere;;WAHR
Alice Thourot;Q30391746;http://commons.wikimedia.org/wiki/Special:FilePath/Alice%20Thourot.jpg;FALSCH;;;;WAHR
Amal-Amélia Lakrafi;Q30345381;http://commons.wikimedia.org/wiki/Special:FilePath/Amal%20Am%C3%A9lia%20Lakrafi%20d%C3%A9put%C3%A9%20Assembl%C3%A9e%20nationale.jpg;FALSCH;;Amelia_LKF;;WAHR
