name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Yoann Gillet;Q58177508;;FALSCH;;YoannGillet30;;WAHR
Yannick Haury;Q30349437;;FALSCH;;YHaury44;;WAHR
Yannick Favennec;Q3571749;http://commons.wikimedia.org/wiki/Special:FilePath/Yannick%20FAVENNEC%20d%C3%A9put%C3%A9%20de%20la%20Mayenne.jpg;FALSCH;;yfavennec;;WAHR
Yannick Chenevard;Q63371106;http://commons.wikimedia.org/wiki/Special:FilePath/Yannick%20Chenevard%20AN.jpg;FALSCH;;ychenevard83;;WAHR
Yannick Neuder;Q62887718;;FALSCH;;yannickneuder;;WAHR
Yannick Monnet;Q112638039;;FALSCH;;YannickMonnet3;;WAHR
Yaël Ménache;Q112652868;;FALSCH;;YaelMenache;;WAHR
Yaël Braun-Pivet;Q30339422;http://commons.wikimedia.org/wiki/Special:FilePath/Ya%C3%ABl%20Braun-Pivet%204colonnes%2019182.jpg;FALSCH;;YaelBRAUNPIVET;;WAHR
Xavier Roseren;Q30505632;http://commons.wikimedia.org/wiki/Special:FilePath/Xavier%20Roseren.jpg;FALSCH;;XavierRoseren;;WAHR
Xavier Batut;Q30348761;http://commons.wikimedia.org/wiki/Special:FilePath/Xavier%20Batut.jpg;FALSCH;;XavierBatut;;WAHR
Xavier Albertini;Q61951618;http://commons.wikimedia.org/wiki/Special:FilePath/Albertini%201406627%20%282022%29.jpg;FALSCH;;xavieralbertini;;WAHR
William Martinet;Q16683347;http://commons.wikimedia.org/wiki/Special:FilePath/William%20Martinet.jpg;FALSCH;;WilliamMartinet;;WAHR
Jiovanny William;Q112630933;;FALSCH;;WilliamJiovanny;;WAHR
Jean-Luc Warsmann;Q509407;http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Luc%20Warsmann%20par%20Claude%20Truong-Ngoc%20janvier%202016.jpg;FALSCH;;warsmann;;WAHR
Violette Spillebout;Q112651467;;FALSCH;;VSpillebout;;WAHR
Vincent Seitlinger;Q65602224;;FALSCH;;vseitlinger;;WAHR
Vincent Rolland;Q3559821;http://commons.wikimedia.org/wiki/Special:FilePath/Vincent-rolland73Savoie.jpg;FALSCH;;VRolland73;;WAHR
Stéphane Viry;Q30509463;http://commons.wikimedia.org/wiki/Special:FilePath/Stephane%20Viry%20salle%204%20colonnes%2018874.jpg;FALSCH;;ViryStephane;;WAHR
Vincent Thiébaut;Q30348526;http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20Thi%C3%A9baut%20par%20Claude%20Truong-Ngoc%20juillet%202017.jpg;FALSCH;;VincentThiebaut;;WAHR
Vincent Ledoux;Q23384045;http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20LEDOUX.jpg;FALSCH;;VincentLedoux59;;WAHR
Vincent Descœur;Q3559584;http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20Desc%C5%93ur.jpg;FALSCH;;VincentDescoeur;;WAHR
Antoine Villedieu;Q112652488;;FALSCH;;villedieu_a;;WAHR
Philippe Vigier;Q3380857;http://commons.wikimedia.org/wiki/Special:FilePath/Philippe%20Vigier%202015.jpg;FALSCH;;VigierPhilippe;;WAHR
Annie Vidal;Q30339397;http://commons.wikimedia.org/wiki/Special:FilePath/Annie%20Vidal%20palais%20Bourbon%2018926.jpg;FALSCH;;Vidal7602;;WAHR
Victor Catteau;Q112651536;;FALSCH;;VictorCatteau;;WAHR
Véronique Besse;Q3564277;http://commons.wikimedia.org/wiki/Special:FilePath/V%C3%A9ronique%20Besse%20Vend%C3%A9e%20wikipedia.jpg;FALSCH;;veroniquebesse;;WAHR
Véronique Louwagie;Q3564331;http://commons.wikimedia.org/wiki/Special:FilePath/V%C3%A9ronique%20Louwagie%20%28cropped%29.jpg;FALSCH;;VeroLouwagie;;WAHR
Valérie Bazin-Malgras;Q30333733;http://commons.wikimedia.org/wiki/Special:FilePath/Val%C3%A9rie%20Bazin-Malgras%2C%20en%20mars%202018.jpg;FALSCH;;VBazinMalgras;;WAHR
Valérie Rabault;Q3554304;http://commons.wikimedia.org/wiki/Special:FilePath/Val%C3%A9rie%20Rabault.jpg;FALSCH;;Valerie_Rabault;;WAHR
Véronique Riotton;Q30388169;http://commons.wikimedia.org/wiki/Special:FilePath/V%C3%A9ronique%20Riotton%20.tif;FALSCH;;v_riotton;;WAHR
Murielle Lepvraud;Q112641643;;FALSCH;;UPGuingamp;;WAHR
Ugo Bernalicis;Q30339370;http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%A9union%20publique%20FI%2C%20Le%20Creusot%2C%2015%20May%202019%20-%2001%20%28cropped%29.jpg;FALSCH;;Ugobernalicis;;WAHR
Nicolas Turquois;Q30392038;http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Turquois.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Turquois.jpg;FALSCH;;TurquoisNicolas;;WAHR
Thomas Rudigoz;Q30389738;;FALSCH;;trudigoz;;WAHR
Aurélie Trouvé;Q2872015;http://commons.wikimedia.org/wiki/Special:FilePath/Meeting%20d%27Aur%C3%A9lie%20Trouv%C3%A9.jpg;FALSCH;;trouveaurelie;;WAHR
Thomas Mesnier;Q30349019;http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Mesnier%2016881.JPG;FALSCH;;TMesnier;;WAHR
