name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Adis Ahmetovic;Q96096131;http://commons.wikimedia.org/wiki/Special:FilePath/Adis%20Ahmetovic%2C%202021.jpg;WAHR;;;;WAHR
Stephan Albani;Q15093113;http://commons.wikimedia.org/wiki/Special:FilePath/Albani%2C%20Stephan-0402.jpg;WAHR;;;;WAHR
Carolin Bachmann;Q108731849;;WAHR;;;;WAHR
Jürgen Berghahn;Q1717016;http://commons.wikimedia.org/wiki/Special:FilePath/Berghahn%2C%20J%C3%BCrgen-1.jpg;WAHR;;;;WAHR
Simone Borchardt;Q108752900;;WAHR;;;;WAHR
Michael Brand;Q121174;http://commons.wikimedia.org/wiki/Special:FilePath/Brand%20Michael.jpg;WAHR;;;;WAHR
Carsten Brodesser;Q40998983;http://commons.wikimedia.org/wiki/Special:FilePath/Carsten%20Brodesser%202017%20by%20Lina%20Sommer.jpg;WAHR;;;;WAHR
Katrin Budde;Q1736700;http://commons.wikimedia.org/wiki/Special:FilePath/Katrin%20Budde%202018%20.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Katrin%20Budde%20%282021%29.jpg;WAHR;;;;WAHR
Alexander Dobrindt;Q85783;http://commons.wikimedia.org/wiki/Special:FilePath/Dobrindt%20Alexander%202017%20by%20CSU-Landesleitung.jpg;WAHR;;;;WAHR
Michael Donth;Q15813241;http://commons.wikimedia.org/wiki/Special:FilePath/Donth%2C%20Michael-0580.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Donth%202013.jpg http://commons.wikimedia.org/wiki/Special:FilePath/MichaelDonthNominierung.JPG;WAHR;;;;WAHR
Felix Döring;Q108738182;http://commons.wikimedia.org/wiki/Special:FilePath/Felix%20D%C3%B6ring%20%282021%29.jpg;WAHR;;;;WAHR
Alexander Engelhard;Q108755186;;WAHR;;;;WAHR
Hermann Färber;Q15434637;http://commons.wikimedia.org/wiki/Special:FilePath/F%C3%A4rber%20Hermann%20Laurence%20Chaperon%20500x500%20portraet%20hf%20plakat%20retusche%2002%200%200.png;WAHR;;;;WAHR
Manuel Gava;Q108756202;;WAHR;;;;WAHR
Martin Gerster;Q1710147;http://commons.wikimedia.org/wiki/Special:FilePath/MK28233%20Martin%20Gerster.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Gerster%20%282021%29.jpg;WAHR;;;;WAHR
Oliver Grundmann;Q15813228;http://commons.wikimedia.org/wiki/Special:FilePath/2020-02-14%20Oliver%20Grundmann%20%28Bundestagsprojekt%202020%29%20by%20Sandro%20Halank%E2%80%932.jpg;WAHR;;;;WAHR
Bettina Hagedorn;Q832631;http://commons.wikimedia.org/wiki/Special:FilePath/Hagedorn%2C%20Bettina-1473.jpg;WAHR;;;;WAHR
André Hahn;Q1764708;http://commons.wikimedia.org/wiki/Special:FilePath/Hahn%2C%20Andr%C3%A9-1479.jpg;WAHR;;;;WAHR
Steffen Janich;Q108756781;;WAHR;;;;WAHR
Anne Janssen;Q108741931;;WAHR;;;;WAHR
Andreas Jung;Q98768;http://commons.wikimedia.org/wiki/Special:FilePath/Andreas-jung.jpg;WAHR;;;;WAHR
Dunja Kreiser;Q42586423;http://commons.wikimedia.org/wiki/Special:FilePath/Dunja%20Kreiser%2C%202017.png http://commons.wikimedia.org/wiki/Special:FilePath/Dunja%20Kreiser%20%282021%29.jpg;WAHR;;;;WAHR
Wolfgang Kubicki;Q2590313;http://commons.wikimedia.org/wiki/Special:FilePath/2013-08-23%20-%20Wolfgang%20Kubicki%20-%208689.jpg;WAHR;;;;WAHR
Jens Lehmann;Q62995;http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%202%20Jens%20Lehmann%20MdB.jpg;WAHR;;;;WAHR
Barbara Lenk;Q108705839;;WAHR;;;;WAHR
Carsten Linnemann;Q1045606;http://commons.wikimedia.org/wiki/Special:FilePath/Hart%20aber%20fair%202018-10-08-8565.jpg;WAHR;;;;WAHR
Patricia Lips;Q2057218;http://commons.wikimedia.org/wiki/Special:FilePath/2020-02-13%20Deutscher%20Bundestag%20IMG%203305%20by%20Stepro.jpg;WAHR;;;;WAHR
Bernhard Loos;Q30579521;http://commons.wikimedia.org/wiki/Special:FilePath/Bernhard%20Loos.jpg;WAHR;;;;WAHR
Klaus Mack;Q108757079;;WAHR;;;;WAHR
