name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Adolfo Suárez Illana;Q4684282;http://commons.wikimedia.org/wiki/Special:FilePath/%28Adolfo%20Su%C3%A1rez%20Illana%29%20Conferencia%20Adolfo%20Suarez%20Illana%20dentro%20del%20FORO%20MADRID%20del%20Partido%20Popular%20de%20Madrid.%20%2845072739065%29%20%28cropped%29.jpg;FALSCH;;;;WAHR
Agustín Zamarrón Moreno;Q63978033;http://commons.wikimedia.org/wiki/Special:FilePath/Agust%C3%ADn%20Javier%20Zamarr%C3%B3n.jpg;FALSCH;;;;WAHR
Carlos Aragonés;Q5749710;;WAHR;;;;WAHR
Eduardo Luís Ruiz Navarro;Q74579104;;FALSCH;;;;WAHR
Ignacio Gil;Q5913259;http://commons.wikimedia.org/wiki/Special:FilePath/Ignacio%20Gil%20L%C3%A1zaro.jpg;WAHR;;;;WAHR
Jaime Miguel Mateu Istúriz;Q27755492;http://commons.wikimedia.org/wiki/Special:FilePath/Jaime%20Mateu%20Ist%C3%BAriz%202018%20%28cropped%29.jpeg;FALSCH;;;;WAHR
José Antonio Bermúdez de Castro;Q5937714;http://commons.wikimedia.org/wiki/Special:FilePath/Jos%C3%A9%20Antonio%20Berm%C3%BAdez%20de%20Castro.jpg;FALSCH;;;;WAHR
José María Sánchez García;Q45764803;;WAHR;;;;WAHR
Josefa Andrés Barea;Q457080;http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9s%20Barea%2C%20Josefa-9964.jpg;WAHR;;;;WAHR
Josune Gorospe;Q48321460;http://commons.wikimedia.org/wiki/Special:FilePath/Josune%20Gorospe.jpg;FALSCH;;;;WAHR
Juan José Matarí;Q27755511;http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Jos%C3%A9%20Matar%C3%AD%20%28cropped%29.jpg;FALSCH;;;;WAHR
Manuel Gabriel González Ramos;Q27999087;http://commons.wikimedia.org/wiki/Special:FilePath/%28Manuel%20Gonz%C3%A1lez%20Ramos%29%2020180730%208929%20Araceli%20Mart%C3%ADnez%20se%20re%C3%BAne%20con%20Manuel%20Gonz%C3%A1lez%20%2829869427568%29%20%28cropped%29.jpg;FALSCH;;;;WAHR
María Isabel Pozueta Fernández;Q62080089;http://commons.wikimedia.org/wiki/Special:FilePath/Bel%20Pozueta%20%28cropped%29.jpg;FALSCH;;;;WAHR
Maria Luisa Faneca Lopez;Q14084147;;FALSCH;;;;WAHR
María Luisa Vilches Ruiz;Q66663518;;FALSCH;;;;WAHR
María Teresa Angulo Romero;Q27756008;http://commons.wikimedia.org/wiki/Special:FilePath/Mar%C3%ADa%20Teresa%20Angulo%20Romero%20%28cropped%29.jpg;FALSCH;;;;WAHR
Mercedes Jara Moreno;Q111678258;;FALSCH;;;;WAHR
Natividad González Laso;Q61060590;;FALSCH;;;;WAHR
Rubén Darío Vega Arias;Q74579133;;FALSCH;;;;WAHR
Tomás Guitarte;Q74549045;http://commons.wikimedia.org/wiki/Special:FilePath/Tom%C3%A1s%20Guitarte.jpg;FALSCH;;;;WAHR
Maria das Graças Carvalho Dantas;Q62092107;;FALSCH;;_Maria_Dantas_;;WAHR
Mireia Borrás Pabón;Q74579100;http://commons.wikimedia.org/wiki/Special:FilePath/20220630%20Pleno%20-%2052184291964%20%28cropped%29.jpg;FALSCH;;_mireiaborras;;WAHR
Patricia Rueda Perelló;Q65146326;http://commons.wikimedia.org/wiki/Special:FilePath/Patricia%20Rueda%20%282021%29%20%28cropped%29.jpg;FALSCH;;_patricia_rueda;;WAHR
